place,name,date,movie_age,title,room,seat_total,theater_type,time
서울,강남,2022.05.03,15,니 부모 얼굴이 보고 싶다,3관,총 232석,2D,22:50
서울,강남,2022.05.03,15,니 부모 얼굴이 보고 싶다,5관,총 96석,2D,21:30
서울,강남,2022.05.03,12,신비한 동물들과 덤블도어의 비밀,1관,총 232석,2D(자막),22:00
서울,강남,2022.05.03,15,서울괴담,6관,총 103석,2D,22:20
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),11:10
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),13:45
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),16:25
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),19:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),21:35
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,1관,총 232석,3D(자막),24:10
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),12:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),14:30
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),17:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),19:30
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),22:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,2관,총 103석,2D(자막),24:30
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),10:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),12:30
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),15:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),17:30
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),20:00
서울,강남,2022.05.04,12,닥터 스트레인지: 대혼돈의 멀티버스,3관,총 232석,2D(자막),22:30
